INFO:root:============================= SIMULATION =============================
INFO:root:Step       PotEng          KinEng          TotEng          Volume
INFO:root:0    -5.817449e+00    1.366715e+00    -4.450735e+00    5.222740e+03
INFO:root:100    -5.767848e+00    1.296128e+00    -4.471721e+00    5.222740e+03
INFO:root:200    -5.774486e+00    1.305365e+00    -4.469122e+00    5.222740e+03
INFO:root:300    -5.683926e+00    1.219058e+00    -4.464868e+00    5.222740e+03
INFO:root:400    -5.643292e+00    1.177957e+00    -4.465335e+00    5.222740e+03
INFO:root:500    -5.792714e+00    1.325247e+00    -4.467467e+00    5.222740e+03
INFO:root:600    -5.743599e+00    1.273295e+00    -4.470304e+00    5.222740e+03
INFO:root:700    -5.744992e+00    1.273743e+00    -4.471249e+00    5.222740e+03
INFO:root:800    -5.897912e+00    1.425710e+00    -4.472201e+00    5.222740e+03
INFO:root:900    -5.721837e+00    1.251295e+00    -4.470542e+00    5.222740e+03
INFO:root:1000    -5.665788e+00    1.195010e+00    -4.470778e+00    5.222740e+03
INFO:root:1100    -5.768231e+00    1.297922e+00    -4.470309e+00    5.222740e+03
INFO:root:1200    -5.725784e+00    1.258550e+00    -4.467234e+00    5.222740e+03
INFO:root:1300    -5.674987e+00    1.206569e+00    -4.468418e+00    5.222740e+03
INFO:root:1400    -5.632430e+00    1.164488e+00    -4.467942e+00    5.222740e+03
INFO:root:1500    -5.681635e+00    1.211329e+00    -4.470307e+00    5.222740e+03
INFO:root:1600    -5.807581e+00    1.337981e+00    -4.469600e+00    5.222740e+03
INFO:root:1700    -5.729776e+00    1.259708e+00    -4.470068e+00    5.222740e+03
INFO:root:1800    -5.732650e+00    1.264469e+00    -4.468182e+00    5.222740e+03
INFO:root:1900    -5.807282e+00    1.335082e+00    -4.472200e+00    5.222740e+03
INFO:root:2000    -5.778352e+00    1.308514e+00    -4.469838e+00    5.222740e+03
INFO:root:2100    -5.735142e+00    1.265777e+00    -4.469365e+00    5.222740e+03
INFO:root:2200    -5.769886e+00    1.299346e+00    -4.470540e+00    5.222740e+03
INFO:root:2300    -5.855271e+00    1.384022e+00    -4.471249e+00    5.222740e+03
INFO:root:2400    -5.781876e+00    1.308971e+00    -4.472905e+00    5.222740e+03
INFO:root:2500    -5.747094e+00    1.277967e+00    -4.469127e+00    5.222740e+03
INFO:root:2600    -5.727978e+00    1.254833e+00    -4.473146e+00    5.222740e+03
INFO:root:2700    -5.742044e+00    1.268664e+00    -4.473380e+00    5.222740e+03
