INFO:root:============================= SIMULATION =============================
INFO:root:Step       PotEng          KinEng          TotEng          Volume
INFO:root:0    -5.816596e+00    0.000000e+00    -5.816596e+00    5.222740e+03
INFO:root:100    -6.245113e+00    4.604046e-01    -5.784709e+00    5.222740e+03
INFO:root:============================= SIMULATION =============================
INFO:root:Step       PotEng          KinEng          TotEng          Volume
INFO:root:0    -5.817449e+00    0.000000e+00    -5.817449e+00    5.222740e+03
INFO:root:100    -6.313339e+00    5.348280e-01    -5.778511e+00    5.222740e+03
INFO:root:200    -6.117816e+00    7.434096e-01    -5.374406e+00    5.222740e+03
INFO:root:300    6.047469e+08    9.888672e+39    9.888672e+39    5.222740e+03
INFO:root:400    1.152670e+10    9.888715e+39    9.888715e+39    5.222740e+03
INFO:root:500    2.740673e+07    9.650204e+53    9.650204e+53    5.222740e+03
INFO:root:============================= SIMULATION =============================
INFO:root:Step       PotEng          KinEng          TotEng          Volume
INFO:root:0    -5.817449e+00    0.000000e+00    -5.817449e+00    5.222740e+03
INFO:root:100    -6.313339e+00    5.348280e-01    -5.778511e+00    5.222740e+03
INFO:root:200    -6.117816e+00    7.434096e-01    -5.374406e+00    5.222740e+03
INFO:root:300    6.047469e+08    9.888672e+39    9.888672e+39    5.222740e+03
INFO:root:400    1.152670e+10    9.888715e+39    9.888715e+39    5.222740e+03
INFO:root:500    2.740673e+07    9.650204e+53    9.650204e+53    5.222740e+03
INFO:root:600    5.205693e+09    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:700    3.673282e+04    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:800    7.357214e+04    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:900    3.674958e+04    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:1000    5.852552e+01    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:1100    3.333603e+01    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:1200    5.588567e+01    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:1300    3.674959e+04    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:1400    3.701279e+04    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:1500    3.673287e+04    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:1600    2.503941e+01    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:1700    4.003934e+04    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:1800    -5.274328e-02    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:1900    8.320450e+00    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:2000    8.337520e+00    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:2100    -8.048353e-02    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:2200    1.671887e+01    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:2300    8.298389e+00    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:2400    8.309320e+00    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:2500    8.302473e+00    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:2600    -3.665660e-02    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:2700    -8.128847e-02    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:2800    8.316814e+00    2.450808e+66    2.450808e+66    5.222740e+03
